0:   r: 95   g: 103   b: 150   r: 209   g: 7   b: 227   r: 82   g: 100   b: 229   az: 35.08   cl: 47.68
1:   r: 120   g: 69   b: 251   r: 187   g: 16   b: 66   r: 59   g: 10   b: 99   az: 188.11   cl: 69.06
2:   r: 254   g: 48   b: 117   r: 123   g: 161   b: 2   r: 99   g: 138   b: 203   az: 207.8   cl: 17.75
3:   r: 118   g: 118   b: 102   r: 18   g: 99   b: 56   r: 197   g: 158   b: 186   az: 226.32   cl: 55.2
4:   r: 127   g: 184   b: 20   r: 240   g: 232   b: 120   r: 6   g: 37   b: 77   az: 174.74   cl: 79.56
5:   r: 62   g: 255   b: 95   r: 101   g: 85   b: 214   r: 186   g: 17   b: 38   az: 146.74   cl: 67.12
6:   r: 96   g: 172   b: 31   r: 190   g: 48   b: 24   r: 132   g: 41   b: 247   az: 202.72   cl: 9.98
7:   r: 92   g: 152   b: 104   r: 20   g: 139   b: 84   r: 107   g: 0   b: 121   az: 93.26   cl: 79.18
8:   r: 103   g: 59   b: 241   r: 121   g: 149   b: 116   r: 31   g: 242   b: 170   az: 66.5   cl: 95.9
9:   r: 97   g: 158   b: 215   r: 74   g: 58   b: 162   r: 43   g: 243   b: 137   az: 87.44   cl: 78.81
10:   r: 101   g: 237   b: 205   r: 151   g: 222   b: 17   r: 86   g: 16   b: 132   az: 229.13   cl: 82.11
11:   r: 190   g: 19   b: 112   r: 157   g: 224   b: 26   r: 0   g: 247   b: 12   az: 127.85   cl: 44.25
12:   r: 114   g: 112   b: 90   r: 220   g: 111   b: 245   r: 54   g: 117   b: 212   az: 235.94   cl: 96.4
13:   r: 74   g: 193   b: 69   r: 171   g: 253   b: 3   r: 241   g: 186   b: 179   az: 69.52   cl: 93.08
14:   r: 105   g: 179   b: 111   r: 137   g: 121   b: 210   r: 167   g: 59   b: 17   az: 230.39   cl: 96.38
15:   r: 56   g: 224   b: 78   r: 219   g: 54   b: 162   r: 67   g: 67   b: 93   az: 110.18   cl: 77.1
16:   r: 203   g: 21   b: 221   r: 190   g: 38   b: 24   r: 139   g: 241   b: 12   az: 167.48   cl: 35.9
17:   r: 92   g: 196   b: 121   r: 132   g: 128   b: 51   r: 212   g: 41   b: 37   az: 225.3   cl: 84.96
18:   r: 138   g: 188   b: 236   r: 7   g: 103   b: 165   r: 205   g: 48   b: 183   az: 84.42   cl: 31.17
19:   r: 5   g: 83   b: 175   r: 96   g: 238   b: 203   r: 171   g: 196   b: 247   az: 116.88   cl: 79.73
