0:   az: 152.0   cl: 29.65
1:   az: 79.34   cl: 68.06
2:   az: 68.9   cl: 7.51
3:   az: 85.7   cl: 86.6
4:   az: 186.57   cl: 26.17
5:   az: 37.66   cl: 29.37
6:   az: 56.49   cl: 33.17
7:   az: 97.18   cl: 26.7
8:   az: 203.25   cl: 32.59
9:   az: 141.38   cl: 16.01
10:   az: 199.48   cl: 1.15
11:   az: 41.52   cl: 3.19
12:   az: 238.97   cl: 85.48
13:   az: 195.38   cl: 58.67
14:   az: 127.04   cl: 4.73
15:   az: 174.9   cl: 95.12
16:   az: 95.66   cl: 13.12
17:   az: 247.87   cl: 15.6
18:   az: 31.33   cl: 18.14
19:   az: 251.93   cl: 25.32
