0:   az: 232.33   cl: 59.78
1:   az: 117.73   cl: 64.82
2:   az: 81.07   cl: 95.9
3:   az: 231.93   cl: 43.91
4:   az: 236.88   cl: 79.54
5:   az: 213.22   cl: 48.99
6:   az: 148.13   cl: 10.7
7:   az: 203.01   cl: 48.77
8:   az: 115.97   cl: 31.09
9:   az: 217.08   cl: 17.93
10:   az: 167.71   cl: 29.07
11:   az: 79.84   cl: 60.79
12:   az: 109.37   cl: 53.94
13:   az: 118.35   cl: 88.28
14:   az: 239.17   cl: 76.27
15:   az: 133.55   cl: 9.71
16:   az: 29.57   cl: 7.55
17:   az: 196.22   cl: 86.9
18:   az: 212.21   cl: 40.81
19:   az: 230.2   cl: 26.68
