0:   az: 31.1   cl: 99.65
1:   az: 89.79   cl: 70.55
2:   az: 30.49   cl: 22.9
3:   az: 115.45   cl: 7.04
4:   az: 171.14   cl: 0.74
5:   az: 161.67   cl: 26.14
6:   az: 59.82   cl: 5.79
7:   az: 244.51   cl: 35.68
8:   az: 34.48   cl: 20.1
9:   az: 237.48   cl: 36.37
10:   az: 233.04   cl: 21.3
11:   az: 166.06   cl: 63.61
12:   az: 174.44   cl: 12.86
13:   az: 163.25   cl: 23.97
14:   az: 122.63   cl: 97.71
15:   az: 168.37   cl: 53.04
16:   az: 119.59   cl: 63.38
17:   az: 161.34   cl: 65.15
18:   az: 100.5   cl: 17.16
19:   az: 39.36   cl: 78.44
