0:   az: 208.36   cl: 49.24
1:   az: 141.95   cl: 42.2
2:   az: 172.07   cl: 22.98
3:   az: 164.65   cl: 26.41
4:   az: 197.09   cl: 16.33
5:   az: 176.69   cl: 44.07
6:   az: 125.84   cl: 46.07
7:   az: 236.03   cl: 38.81
8:   az: 136.99   cl: 51.81
9:   az: 83.15   cl: 96.38
10:   az: 196.82   cl: 37.05
11:   az: 25.5   cl: 3.75
12:   az: 241.04   cl: 77.04
13:   az: 81.33   cl: 4.83
14:   az: 128.15   cl: 11.83
15:   az: 208.28   cl: 7.6
16:   az: 69.73   cl: 85.74
17:   az: 40.88   cl: 68.72
18:   az: 120.52   cl: 38.56
19:   az: 144.16   cl: 38.37
