0:   az: 115.8   cl: 87.55
1:   az: 118.52   cl: 31.82
2:   az: 213.12   cl: 26.28
3:   az: 230.3   cl: 49.39
4:   az: 213.22   cl: 48.99
5:   az: 29.57   cl: 7.55
6:   az: 235.33   cl: 17.18
7:   az: 151.97   cl: 76.27
8:   az: 80.78   cl: 60.61
9:   az: 195.28   cl: 87.08
10:   az: 81.08   cl: 61.05
11:   az: 79.83   cl: 95.63
12:   az: 133.55   cl: 79.83
13:   az: 239.17   cl: 6.22
14:   az: 130.17   cl: 7.55
15:   az: 29.77   cl: 31.09
16:   az: 230.2   cl: 26.68
17:   az: 232.33   cl: 59.78
18:   az: 134.64   cl: 10.71
19:   az: 231.24   cl: 58.78
